,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,website,description,LogoUrl,school,school_id
10,10,10,10,10,10,0,www.altcademy.com,"Altcademy is a 100% online education institute offering affordable intensive programs to help students become software developers. Their web development syllabus covers back-end and front-end technologies, including JavaScript, jQuery, HTML, CSS, React,... Read More and Ruby on Rails.Altcademy's programs are designed for self-study and they provide support through chat rooms and 1-on-1 coached office hours (live video conference). Altcademy was founded by a team of programmers who believe empowering people with programming skills can transform their lives and shape a better future.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/Altcademy/original.png?1654124423,altcademy,10517
11,11,11,11,11,11,0,www.techelevator.com,"Tech Elevator offers a full-stack coding bootcamp dedicated to preparing students from a variety of backgrounds for a career as a software developer. Prospective students can choose to study Java or .NET and learn HTML, CSS, SQL, API, and JavaScript.... Read More The full-time, 14-week bootcamp runs Monday through Friday, 9-4:30p, with a low student-to-instructor ratio to ensure the best supportive environment for participants. The part-time, 30-week program includes a mix of self-study modules, live lectures and work in small groups through paired programming. Tech Elevator’s nationally recognized career-readiness Pathway Program is responsible for some of the highest placement outcomes in the bootcamp industry and includes over 30 career prep sessions focused on elevator pitches, digital branding, interview practice, direct connections to employers, six months of placement support post-graduation, and alumni and mentor networking.Tech Elevator’s instruction is delivered both online and in-person at campuses located in Cincinnati, Cleveland, Columbus, and Pittsburgh. Tech Elevator also offers students beyond its core markets, and throughout North America, class options through its National Live Remote program.Tuition and payment options include financing through lending partners Sallie Mae and Ascent, workforce grant dollars, Represent Tech Scholarships, Veteran Benefits, and an Income Share Agreement that allows students to pay back tuition once they land a job.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/Tech_Elevator/original.png?1579896670,tech-elevator,11056
12,12,12,12,12,12,0,codeworks.me/?cw_source=switchup&cw_medium=display&cw_campaign=Featured%20Schools,"Codeworks is an immersive coding bootcamp with campuses across several cities worldwide. You can attend their courses in-person at one of the available locations, or remotely from wherever you are. Programs include 8-week and 12-week full-time software... Read More engineering and full-stack web development courses.All programs cover HTML, CSS, JavaScript, Node, Express, Angular, and React, as well as SQL and NoSQL databases. The 12-week course also covers DevOps, continuous deployment, and systems architecture.The courses are divided into two sections: theory and advanced programming topics, and applied learning through building complete products. Codeworks aims to help students build complex apps and gain an advanced understanding of JavaScript. Graduates should be able to build entire applications and contribute to coding projects of any size.Codeworks is tailored for people at any level with a three-part program process. To apply, candidates must first pass an admission challenge. Applicants with no previous coding experience are offered a remote intro course which covers programming fundamentals, basic JavaScript, HTML, CSS, and more. Once admitted into the program, students complete an 8-week, remote pre-course covering intermediate programming topics like jQuery, Git, Developer tools, and intro to APIs. Once students pass the pre-course, they can start the main programming course.All Codeworks programs include hiring events at the end of the course, including portfolio preparation and tech interview training. Finally, all graduates receive lifelong career support, and become part of an international network of alumni and partner companies.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/codeworks-logo/original.png?1560209993,codeworks,10650
13,13,13,13,13,13,0,www.4geeksacademy.co,"4Geeks Academy is a Coding Bootcamp focused on helping students build and develop coding skills. 4Geeks programs are Software Development, Software Engineering, Artificial Intelligence, Machine Learning and Data Science. Headquartered in Florida, USA,... Read More 4Geeks now has locations in Chile, Spain, Costa Rica, Uruguay and Venezuela. There are three main features in 4Geeks to be considered: (i) every program is coding driven; (ii) every program is offered with a Part-time mindset, methodology, and structure; and, (iii) students and members of the community have unlimited access to every mentor and Instructor for the rest of their life.Upon graduation, 4Geeks Academy works closely with students to help them out getting a job after the program. Graduates will also have access to meetups, coding weekends, community gatherings, sponsored Events, and unlimited mentorship support, as well as lifetime access to an online platform with thousands of hours of tutorials, videos, exercises, and content for continued learning.We also offer two main features: unlimited mentorship and lifetime access to our career support system. You will never code on your own and you will always have the chance to get a better job!Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/4G_LOGO_NEGRO-01__1_/original.png?1560209943,4geeks-academy,10492
14,14,14,14,14,14,0,codingtemple.com/,"Coding Temple was founded in 2014 with the fundamental goal of preparing students for the most in-demand development jobs in the industry through an in-depth, accelerated curriculum.Coding Temple provides an intensive, portfolio-based curriculum in order... Read More to prime eager applicants with the skills needed to enter the web development job market.Through a mixture of interactive group discussions, hands-on-exercises, and individual projects, participants gain competency in HTML, CSS, JavaScript, Python, C#, T-SQL, AngularJS, Git, ASP.NET MVC, and Entity Framework.All courses are delivered by experienced instructors, and Coding Temple maintains a low student-to-faculty ratio. These two factors are paramount to effectively communicating our course material in a short amount of time.They also work with students to develop the soft skills, and assist them in finding and interviewing for potential job opportunities, ensuring them a long and successful career as web developers.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/codingtemple/original.jpg?1568416019,coding-temple,10664
15,15,15,15,15,15,0,devcodecamp.com,"The devCodeCamp philosophy is to learn through doing. Students can expect lectures that range from the fundamentals of development to advanced, industry-driven concepts. We start out highly structured, with frequent lectures. The first weeks increase... Read More your understanding of core concepts. As the bootcamp progresses, there’s deliberately less lecture and structure and more hands-on project work. We go from giving you answers to teaching you how to solve problems yourself, working in pairs or in small groups.Today Web Development is software engineering. With our program you will have the skills of a Front-end developer, building the code that runs in a web browser. Starting with HTML markup, adding CSS to make the page look the way it’s supposed to, and JavaScript code to help the user experience on the page be as easy and intuitive as possible. You will also add to those skills back-end development knowledge, all while using Lean/Agile best practices.If you’re ready to add an in-demand skill to your creative side and up the trajectory of your career then it’s time to start thinking about Web Development. Our part-time evening bootcamp will allow you to go well beyond your ideas and enter the realm of implementation as a professional web developer.You don’t just write code, you make the digital magic happen.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/devcodecamp_6gimp/original.png?1632527804,devcodecamp,10703
16,16,16,16,16,16,0,www.nucamp.co,"Nucamp Coding Bootcamp offers part-time, mentored, online programs that prepare adults for entry-level jobs as Junior software developers. Vocational programs range from 16 weeks for Back End, SQL, DevOps with Python, to 17 weeks for Front End Web &amp; Mobile... Read More Development, to 22 weeks for Full Stack Web &amp; Mobile Development. Nucamp also offers a 4-week Web Fundamentals bootcamp in HTML, CSS, and Bootstrap for those needing to prepare or brush up for the vocational bootcamps. Nucamp is on a mission to make quality education accessible and affordable to everyone. Nucamp’s online curriculum offers 6 days/week of self-paced, mentored study with quizzes and challenges, plus 1 day/week a real-time, collaborative workshop of no more than 15 students per class, led by a dedicated instructor for each cohort. Students are held accountable to the bootcamp’s timeline with a summary assignment due weekly. Students also have the opportunity to build a portfolio project which will be a key asset to their future job search. Nucamp offers career services and 1:1 career coaching to bootcamp graduates. Graduates have lifetime access to their online lessons, including updates, and exclusive access to a nationwide job board tailored to Nucamp graduates in the US.Eligible students 18-years and older can join Nucamp’s learning community by enrolling in a bootcamp using Nucamp's online registration formRead Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/nucamp_logo_sq/original.png?1691513864,nucamp,10923
17,17,17,17,17,17,0,tripleten.com/?utm_source=referral&utm_medium=switchup&utm_campaign=schoolpage&utm_content=header,"Tripleten changed their brand name from Practicum in June 2023. Read more here.TripleTen is a family of digital re-skilling products. We help people with versatile backgrounds learn a new profession online and kickstart a sustainable career in tech. TripleTen... Read More stands on the quality of our programs; if you don't secure a position within six months of graduating, we'll refund your money — guaranteed. We seek to level the playing field and empower anyone to enjoy the rewards of a position in the tech industry.TripleTen offers Software Engineering, Quality Assurance, Business Intelligent Analytics, Data Analytics and Data Science programs. Program costs range between $4,900 and $9,700. Each bootcamp includes full access to an interactive online platform, real-life projects, tutor support from experienced developers, code reviews, online webinars, and live coding sessions. Whether you need help with a task or just a bit of encouragement, there'll always be someone ready to help you.More than 5,000 students have already chosen TripleTen. Our students graduate with professional certificates and portfolios with 6 to 15 projects to show to potential employers. With an average employment rate of 87%, our Career Acceleration program provides graduates with the competitive edge they need to succeed. From resume-building to job offer negotiation, we’ll be with you every step of the way.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/tripleten_logo/original.png?1686776542,tripleten,11225
18,18,18,18,18,18,0,skillcrush.com,"Skillcrush has more than 17,000 students in all 50 states and in 127 countries worldwide. Their mission is to make tech careers attainable for everyone. Skillcrush Blueprints are designed for beginners to learn all the skills they need to start making... Read More money within 90 days and make a complete career change within 9 months. When students enroll in a Skillcrush Blueprint, they are offered a rockstar curriculum, designed and constantly updated by industry experts, to make sure students learn exactly the skills they need to get hired. Students receive lifetime access to all Blueprint courses so they can learn according to their own unique schedules. To ensure constant progress, Skillcrush offers support from instructors in the form of emails, in-app feedback, and live online chat, as well as the opportunity to meet, network with, and support fellow students in a 24-hour online Slack community. Lessons come in fun, bite-size segments with real-life projects designed to get students learning, keep them coming back, and ultimately foster an advantage in job searches. Education includes hundreds of code snippets, templates, cheatsheets, and downloads for quick and easy reference, as well as access to career and job search resources, including exclusive guides to tech interviews and where to find the perfect job. With Skillcrush, students can earn while they learn, capitalizing on new skills to build out a portfolio and build up experience fast.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/skillcrush-logo/original.png?1560210124,skillcrush,11020
19,19,19,19,19,19,0,learncodinganywhere.com/?utm_source=switchup&utm_medium=placement&utm_campaign=q3,"The Tech Academy offers full and part-time boot camps that can be studied online from anywhere in the world. There are no set start dates or study schedules – students can enroll anytime and study on their own schedule. None of The Tech Academy's bootcamps... Read More require any tech background or experience. Students study at their own speed with Tech Academy Instructors available to help when needed. Instructors review code and assist in debugging. The Tech Academy programs bring about well rounded, entry-level technology professionals that are ready to enter, or even re-enter, the tech industry. The Tech Academy offers eleven boot camp tracks: 1. Software Developer Boot Camp 2. Data Science Boot Camp 3. Designer Boot Camp 4. C# and .NET Boot Camp 5. Python Boot Camp 6. Web Developer Boot Camp 7. Cyber Security Boot Camp 8. Game Developer Boot Camp 9. Mobile App Developer Boot Camp 10. JavaScript Developer Boot Camp 11. UI/UX Designer Boot Camp Every program starts with computer science basics, which is meant to take away the mystery behind technology and lay the foundation on which the rest of the curriculum is built. Students then learn multiple programming languages and skills needed to be a successful developer. At the end of their program, students participate in a live project and receive job placement training. The live project gives students the opportunity to work on a real-world software development project that they can add to their resume. The job placement training teaches them how to build a technical resume, best networking and interview practices, and all the skills needed to have the best chance at getting a good job in technology. Graduates from The Tech Academy are trained in several in-demand programming languages and are set up for a long-lasting, successful career in technology. Enrollment is open now so you can start today!Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/thetechacademy/original.jpg?1568415676,the-tech-academy,11091
20,20,20,20,20,20,0,www.galvanize.com/hack-reactor/?utm_source=switchup&utm_medium=display&utm_campaign=featured_school,"Hack Reactor by Galvanize is the leading educator for rapid career transformation, offering software engineering bootcamps designed so that anyone with motivation can succeed, regardless of education, experience, or background. Since 2012, its software... Read More engineering bootcamps have created an environment for gaining the in-demand software engineering and other foundational skills needed to propel your career. When you participate in any Hack Reactor bootcamp, you join a diverse, engaged network of fellow students, instructors, staff, and alumni, including 8,000+ graduates at 2,250 companies. Hack Reactor by Galvanize bootcamps are challenging, life-changing, and designed to fit a student’s schedule and skill level. Bootcamps include a 19-Week Software Engineering Immersive with JavaScript and Python, designed for beginners, as well as a 12-Week Software Engineering Immersive, designed for those with intermediate coding skills. Applicants to the 12-week and 36-week Software Engineering Immersives need to pass a Technical Admissions Assessment (TAA), which tests for intermediate coding competency. There is a free, self-paced bootcamp prep course that can be accessed to learn the fundamentals of JavaScript. Those applying for the 19-week program do not need to pass the TAA or take any prep courses. Applicants to all programs need to pass an aptitude test, a brief typing test, and an admissions interview.In addition to its software engineering programs, Hack Reactor provides a large network of professional peers, 1:1 coaching, mock interviews, job training, and more. All students graduate as autonomous, full-stack software engineers, fully capable of tackling unique problems and building complex applications on the job.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/hack_reactor_square/original.jpeg?1679015136,hack-reactor,10788
21,21,21,21,21,21,0,techis.io/,"TECH I.S. is an immersive online programming Bootcamp, which helps students establish a strong programming foundation and launch their careers as software engineers. The curriculum is designed in a way that allows even complete beginners to become proficient... Read More and job-ready.Our Web Development and Data Science programs can be completed over a period of 3-6 months. The Curriculum is comprehensive and we take a hands-on, learn by doing approach, where students build their portfolios with the guidance of the mentors.TECH I.S. offers:- 1-on-1 mentorship with experts from the Tech Industry- 24*7 access to expert mentors, so students have complete control over their learning schedule- Job Placement Support - We have a strong network of hiring partnersRead Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/TECH_I.S./original.png?1595871640,tech-i-s,11283
22,22,22,22,22,22,0,brainstation.io,"BrainStation is the global leader in digital skills training, offering bootcamps, courses, and events both online and at state-of-the-art campuses in New York, London, Miami, Toronto, and Vancouver.BrainStation empowers individuals to succeed in the digital... Read More age, with training in data, design, development, digital marketing, product, and leadership. Providing a collaborative, project-based learning experience, BrainStation’s curriculum is constantly updated to ensure professionals gain the most industry-relevant and in-demand skills.Established in 2012, BrainStation works with instructors from the most innovative companies, developing cutting-edge, real-world digital education.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/Brainstation_logo/original.png?1578356313,brainstation,10571
23,23,23,23,23,23,0,codingdojo.com/,"Founded in 2012, Coding Dojo has helped 8000+ students advance their career in tech. One of the only bootcamps in the world to teach 3 full-stack technologies in a single 14-week program, graduates go on to be hired by companies like Amazon, Expedia,... Read More Microsoft, and more. An industry-leading curriculum that's matched to regional job demand, students choose to learn 3 full-stack languages, choosing from Java, JavaScript, Python, and C# depending on location and program. Students also practice whiteboarding in group study sessions - preparing them for technical interviews. Experience building advanced web applications, solving real-world problems, and learning to think like an engineer. They also offer a part-time curriculum in Data Science, Cybersecurity, and UI/UX Design. Qualified applicants may receive up to $2,750 in scholarship awards to put towards their tuition.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/codingdojo/original.png?1568083063,coding-dojo,10659
